SourceId,SourceName,TargetId,TargetName,Weight
0,Pejibaye,1,Atenas,12
1,Atenas,2,San Joaquín,5
2,San Joaquín,3,Sánchez,3
3,Sánchez,4,Sabanillal,7
4,Sabanillal,5,Jacó,1
5,Jacó,6,San Antonio Norte,12
6,San Antonio Norte,7,San Lorenzo Arriba,2
7,San Lorenzo Arriba,8,San Diego,2
8,San Diego,9,Las Horquetas,10
9,Las Horquetas,10,Canalete,2
10,Canalete,11,Mogote,1
11,Mogote,12,Mansión,1
12,Mansión,13,Germania,8
13,Germania,14,El Ángel,5
14,El Ángel,15,Brisas,1
15,Brisas,16,Rincón de Sabanilla,13
16,Rincón de Sabanilla,17,Cot,5
17,Cot,18,Santa Rita Nuevo,2
18,Santa Rita Nuevo,19,Santa Isabel,3
19,Santa Isabel,20,Tabarcia,4
20,Tabarcia,21,Jesús María,9
21,Jesús María,22,Puente de Piedra,5
22,Puente de Piedra,23,Santiago Puriscal,3
23,Santiago Puriscal,24,La Victoria,14
24,La Victoria,25,San Juan de Mata,6
25,San Juan de Mata,26,La Tigra,11
26,La Tigra,27,San Marcos,12
27,San Marcos,28,Sabana Redonda,10
28,Sabana Redonda,29,Cervantes,7
29,Cervantes,30,Roxana,7
30,Roxana,31,Sabanilla,3
31,Sabanilla,32,Limón,10
32,Limón,33,San Pedro Oeste,12
33,San Pedro Oeste,34,Paraíso,8
34,Paraíso,35,San Sebastián,14
35,San Sebastián,36,Guayabo,12
36,Guayabo,37,Hospital,14
37,Hospital,38,Garita,13
38,Garita,39,Nosara,15
39,Nosara,40,Tacares,12
40,Tacares,41,Cartagena,2
41,Cartagena,42,Sardinal,13
42,Sardinal,43,Río Naranjo,4
43,Río Naranjo,44,Zarcero,2
44,Zarcero,45,Jardín,11
45,Jardín,46,Piedades Sur,9
46,Piedades Sur,47,Sarapiquí,9
47,Sarapiquí,48,Bolsón,9
48,Bolsón,49,Chánguena,2
49,Chánguena,50,Santa Rosa,10
50,Santa Rosa,51,Filadelfia,10
51,Filadelfia,52,Telire,8
52,Telire,53,Llanuras del Gaspar,5
53,Llanuras del Gaspar,54,Yolillal,2
54,Yolillal,55,Puerto Viejo,2
55,Puerto Viejo,56,San Antonio Sur,9
56,San Antonio Sur,57,Palmitos,7
57,Palmitos,58,Cote,9
58,Cote,59,San Rafael Este,10
59,San Rafael Este,60,Cóbano,15
60,Cóbano,61,Santa Lucía,8
61,Santa Lucía,62,Tierra Blanca,11
62,Tierra Blanca,63,Birrisito,15
63,Birrisito,64,Florida,12
64,Florida,65,Matina,7
65,Matina,66,Arancibia,7
66,Arancibia,67,Belén de Heredia,13
67,Belén de Heredia,68,Pital,10
68,Pital,69,Dulce Nombre de Jesús,13
69,Dulce Nombre de Jesús,70,Guácima,14
70,Guácima,71,Delicias,13
71,Delicias,72,Quebradilla,4
72,Quebradilla,73,Toro Amarillo,12
73,Toro Amarillo,74,Lagunillas,10
74,Lagunillas,75,Catedral,7
75,Catedral,76,Platanares,1
76,Platanares,77,Bratsi,11
77,Bratsi,78,San Antonio Arriba,13
78,San Antonio Arriba,79,El General,1
79,El General,80,Curubandé,15
80,Curubandé,81,San Rafael Oeste,12
81,San Rafael Oeste,82,Chirripó,1
82,Chirripó,83,Limoncito,8
83,Limoncito,84,San Pedro Norte,8
84,San Pedro Norte,85,Zaragoza,2
85,Zaragoza,86,La Buenavista,14
86,La Buenavista,87,Tilarán,11
87,Tilarán,88,El Mastate,5
88,El Mastate,89,Hatillo,1
89,Hatillo,90,Puntarenas,1
90,Puntarenas,91,Carmencita,6
91,Carmencita,92,La Unión,15
92,La Unión,93,Vuelta de Jorco,1
93,Vuelta de Jorco,94,La Colonia,15
94,La Colonia,95,Desamparados Norte,14
95,Desamparados Norte,96,Buenas Lomas,10
96,Buenas Lomas,97,Pitahaya,3
97,Pitahaya,98,Valle La Estrella,9
98,Valle La Estrella,99,San Rafael Parrita,13
99,San Rafael Parrita,100,Carara,5
100,Carara,101,Páramo,14
101,Páramo,102,Cañas Dulces,9
102,Cañas Dulces,103,La Isabel,5
103,La Isabel,104,Buenos Aires,9
104,Buenos Aires,105,La Cuesta,4
105,La Cuesta,106,Manzanillo,10
106,Manzanillo,107,San Ramón Nuevo,12
107,San Ramón Nuevo,108,Santiago Poás,11
108,Santiago Poás,109,Cipreses,7
109,Cipreses,110,Desmonte,11
110,Desmonte,111,Upala,7
111,Upala,112,Cinco Esquinas,2
112,Cinco Esquinas,113,Aserrí,1
113,Aserrí,114,San Josecito,7
114,San Josecito,115,San Francisco de Dos Ríos,4
115,San Francisco de Dos Ríos,116,San Pedro Antiguo,10
116,San Pedro Antiguo,117,Guadalupe Norte,1
117,Guadalupe Norte,118,San Jerónimo Abajo,5
118,San Jerónimo Abajo,119,Brasil,3
119,Brasil,120,Pacayas,4
120,Pacayas,121,Porozal,4
121,Porozal,122,Coloradito,14
122,Coloradito,123,Naranjo,14
123,Naranjo,124,Cariari,9
124,Cariari,125,San Isidro Abajo,6
125,San Isidro Abajo,126,Pittier,14
126,Pittier,127,Guadalupe Oeste,5
127,Guadalupe Oeste,128,Caño Negro,2
128,Caño Negro,129,Tamarindo,2
129,Tamarindo,130,Gravilias,14
130,Gravilias,131,Piedades Norte,12
131,Piedades Norte,132,San Juan Arriba,7
132,San Juan Arriba,133,Duacarí,12
133,Duacarí,134,Salitral,7
134,Salitral,135,San Isidro Sur,7
135,San Isidro Sur,136,Llano Grande,5
136,Llano Grande,137,Rosario,4
137,Rosario,138,Patalillo,1
138,Patalillo,139,Pilas,8
139,Pilas,140,Colima,3
140,Colima,141,San Pablo Este,8
141,San Pablo Este,142,Lepanto,12
142,Lepanto,143,Buenavista,3
143,Buenavista,144,Zapote,8
144,Zapote,145,Boruca,9
145,Boruca,146,Damas,15
146,Damas,147,Hojancha,13
147,Hojancha,148,Esquipulas,14
148,Esquipulas,149,Llano Bonito,14
149,Llano Bonito,150,San Vicente Norte,10
150,San Vicente Norte,151,Quebrada Grande,6
151,Quebrada Grande,152,Barranca,1
152,Barranca,153,Pavas,14
153,Pavas,154,San Juan Nuevo,10
154,San Juan Nuevo,155,San José Nuevo,7
155,San José Nuevo,156,Mercedes Sur,2
156,Mercedes Sur,157,Ipís,13
157,Ipís,158,Cascajal,3
158,Cascajal,159,Matama,12
159,Matama,160,Sámara,1
160,Sámara,161,Tayutic,3
