SourceId,SourceName,TargetId,TargetName,Weight
0,Pocora,1,Hojancha,9
1,Hojancha,2,Golfito,11
2,Golfito,3,Bahía Ballena,13
3,Bahía Ballena,4,Tambor,1
4,Tambor,5,Patio de Agua,13
5,Patio de Agua,6,San Rafael Piedades,8
6,San Rafael Piedades,7,San Rafael Parrita,6
7,San Rafael Parrita,8,San Miguel Viejo,6
8,San Miguel Viejo,9,San Juan Arriba,5
9,San Juan Arriba,10,Cañas Dulces,13
10,Cañas Dulces,11,Turrúcares,11
11,Turrúcares,12,Isla del Coco,1
12,Isla del Coco,13,Monte Romo,2
13,Monte Romo,14,Río Blanco,2
14,Río Blanco,15,Grifo Alto,10
15,Grifo Alto,16,Acapulco,3
16,Acapulco,17,Hacienda Vieja,6
17,Hacienda Vieja,18,Dos Ríos,11
18,Dos Ríos,19,Tobosi,2
19,Tobosi,20,Candelaria,11
20,Candelaria,21,Zapotal,13
21,Zapotal,22,Duacarí,9
22,Duacarí,23,Sarapiquí,13
23,Sarapiquí,24,Bolsón,4
24,Bolsón,25,Pavas,6
25,Pavas,26,Rancho Redondo,4
26,Rancho Redondo,27,Atenas,7
27,Atenas,28,Quebrada Honda,4
28,Quebrada Honda,29,Bijagua,10
29,Bijagua,30,Los Guido,7
30,Los Guido,31,Patarrá,7
31,Patarrá,32,Granadilla,13
32,Granadilla,33,Santiago Poás,3
33,Santiago Poás,34,Catedral,5
34,Catedral,35,Piedras Negras,6
35,Piedras Negras,36,Santa Rosa Viejo,12
36,Santa Rosa Viejo,37,Nosara,10
37,Nosara,38,Chomes,3
38,Chomes,39,Garita,5
39,Garita,40,San José Norte,14
40,San José Norte,41,Santa Rosa Abajo,5
41,Santa Rosa Abajo,42,Veintisiete de Abril,1
42,Veintisiete de Abril,43,Florida,14
43,Florida,44,Jesús Piedad,8
44,Jesús Piedad,45,San Rafael Viejo,10
45,San Rafael Viejo,46,Daniel Flores,11
46,Daniel Flores,47,Palmitos,5
47,Palmitos,48,Patalillo,11
48,Patalillo,49,Sabalito,11
49,Sabalito,50,San Isidro Labrador,6
50,San Isidro Labrador,51,Guacimal,1
51,Guacimal,52,Matambú,13
52,Matambú,53,San Isidro de El General,6
53,San Isidro de El General,54,Germania,5
54,Germania,55,Llanuras del Gaspar,13
55,Llanuras del Gaspar,56,Manzanillo,15
56,Manzanillo,57,Aguas Claras,15
57,Aguas Claras,58,Cabo Velas,11
58,Cabo Velas,59,Santiago Nuevo,10
59,Santiago Nuevo,60,Río Azul,8
60,Río Azul,61,San Jerónimo Arriba,11
61,San Jerónimo Arriba,62,Bebedero,6
62,Bebedero,63,Limón,2
63,Limón,64,Palmares,2
64,Palmares,65,Cartagena,7
65,Cartagena,66,Chirripó,11
66,Chirripó,67,Puerto Carrillo,12
67,Puerto Carrillo,68,Capellades,11
68,Capellades,69,San Marcos,11
69,San Marcos,70,Lagunillas,15
70,Lagunillas,71,La Unión,7
71,La Unión,72,Las Horquetas,14
72,Las Horquetas,73,Santiago,3
73,Santiago,74,La Suiza,9
74,La Suiza,75,Palmiralito,9
75,Palmiralito,76,Cutris,8
76,Cutris,77,Tres Equis,4
77,Tres Equis,78,Santiago Puriscal,2
78,Santiago Puriscal,79,Reventazón,3
79,Reventazón,80,Buenavista,12
80,Buenavista,81,Dulce Nombre de Jesús,11
81,Dulce Nombre de Jesús,82,San Francisco Abajo,2
82,San Francisco Abajo,83,Guácimo,9
83,Guácimo,84,Cirrí Sur,7
84,Cirrí Sur,85,Volcán,10
85,Volcán,86,Tempate,8
86,Tempate,87,Pitahaya,11
87,Pitahaya,88,Peñas Blancas,6
88,Peñas Blancas,89,Los Chiles,8
89,Los Chiles,90,Cabeceras,13
90,Cabeceras,91,El Ángel,12
91,El Ángel,92,San Pedro Sur,14
92,San Pedro Sur,93,Bolívar,11
93,Bolívar,94,La Trinidad,6
94,La Trinidad,95,Juan Viñas,14
